"","iso_code","continent","total_cases","new_cases","total_deaths","new_deaths","total_cases_per_million","new_cases_per_million","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","datestime"
"173","SOM","Africa",1828,97,72,5,115.018,6.103,4.53,0.315,63135.6170783045,4016.05996680804,7.34008733163451,0.0868280980559793,3394.7138020026,0.0759311378276896,48.15,15893219,23.5,16.8,2.731,1.496,5443.83713207547,33.7642857142857,365.769,6.05,2.55945945945946,27.0675675675676,9.831,0.9,150
"174","ZAF","Africa",40792,3267,848,56,687.791,55.085,14.298,0.944,850871,30196,14.346,0.509,24385,0.411,80.56,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,157
"175","KOR","Asia",2931,909,16,3,57.169,17.73,0.312,0.059,85693,14753,1.671,0.288,9439,0.184,55.56,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,72.0893461538462,12.27,60
"176","SSD","Africa",1317,323,14,4,117.655,28.855,1.251,0.357,63135.6170783045,4016.05996680804,7.34008733163451,0.0868280980559793,3394.7138020026,0.0759311378276896,76.8681132075472,11193729,103.492452830189,19.2,3.441,2.032,1569.888,33.7642857142857,280.775,10.43,2.55945945945946,27.0675675675676,25.1552727272727,1.48829268292683,157
"177","ESP","Europe",75641,9181,4089,655,1617.824,196.365,87.456,14.009,1805264.375,13638.1478773149,38.61125,0.704237414321466,37787.1956521739,0.808217391304348,71.76,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,94.2155,2.97,87
"178","LKA","Asia",1469,150,10,0,68.602,7.005,0.467,0,222760.246662944,11590.3171981826,18.5326948050684,0.478731413513021,9322.55842395497,0.416967308344982,76.85,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,72.0893461538462,3.6,149
"179","SDN","Africa",3138,410,121,10,71.563,9.35,2.759,0.228,63135.6170783045,4016.05996680804,7.34008733163451,0.0868280980559793,3394.7138020026,0.0759311378276896,85.19,43849269,23.258,19.7,3.548,2.034,4466.507,33.7642857142857,431.388,15.67,2.55945945945946,27.0675675675676,23.437,0.8,143
"180","SUR","South America",122,22,1,0,207.966,37.502,1.705,0,151682.199286988,5925.71031746032,23.2454727272727,0.246775793650794,5569.26458288269,0.209497224024804,75.5895945945946,586634,3.612,29.6,6.933,4.229,13767.119,2.86666666666667,258.314,12.54,7.4,42.9,67.779,3.1,160
"181","SWZ","Africa",371,31,3,0,319.782,26.72,2.586,0,63135.6170783045,4016.05996680804,7.34008733163451,0.0868280980559793,3394.7138020026,0.0759311378276896,77.4483333333333,1160164,79.492,21.5,3.163,1.845,7738.975,33.7642857142857,333.436,3.94,1.7,16.5,24.097,2.1,162
"182","SWE","Europe",40803,2214,4542,74,4040.193,219.224,449.735,7.327,120300,13638.1478773149,11.9118,0.704237414321466,6251,0.619,46.3,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,94.2155,2.22,156
"183","CHE","Europe",12104,1390,197,36,1398.56,160.608,22.762,4.16,124398,5753,14.374,0.665,6315,0.73,76.85,8654618,214.243,43.1,18.436,12.644,57410.166,0.874193548387097,99.739,5.59,22.6,28.9,94.2155,4.53,88
