"","iso_code","continent","total_cases","new_cases","total_deaths","new_deaths","total_cases_per_million","new_cases_per_million","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","datestime"
"31","BGR","Europe",1188,91,54,2,170.974,13.096,7.772,0.288,65387.9302325581,1131.43243243243,9.41041860465116,0.162783783783784,1339,0.193,73.15,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,94.2155,7.454,116
"32","BFA","Africa",345,43,17,1,16.505,2.057,0.813,0.048,63135.6170783045,4016.05996680804,7.34008733163451,0.0868280980559793,3394.7138020026,0.0759311378276896,84.26,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,97
"33","BDI","Africa",63,21,1,0,5.298,1.766,0.084,0,382,4016.05996680804,0.032,0.0868280980559793,3394.7138020026,0.0759311378276896,22.22,11890781,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,2.55945945945946,27.0675675675676,6.144,0.8,153
"34","KHM","Asia",86,35,0,0,5.144,2.093,0,0,25884,11590.3171981826,1.549,0.478731413513021,9322.55842395497,0.416967308344982,49.07,16718971,90.672,25.6,4.412,2.385,3645.07,6.75483870967742,270.892,4,2,33.7,66.229,0.8,83
"35","CMR","Africa",7599,810,203,0,286.259,30.513,7.647,0,63135.6170783045,4016.05996680804,7.34008733163451,0.0868280980559793,3394.7138020026,0.0759311378276896,60.6385,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,2.55945945945946,27.0675675675676,2.735,1.3,158
"36","CAN","North America",59474,2760,3682,116,1575.798,73.128,97.557,3.073,919368,25878,24.359,0.686,28845,0.764,72.69,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,75.9312142857143,2.5,125
"37","CPV","Africa",55,44,1,0,98.923,79.138,1.799,0,63135.6170783045,4016.05996680804,7.34008733163451,0.0868280980559793,3394.7138020026,0.0759311378276896,75.93,555988,135.58,25.7,4.46,3.437,6222.554,33.7642857142857,182.219,2.42,2.1,16.5,25.1552727272727,2.1,107
"38","CYM","North America",111,17,1,0,1688.984,258.673,15.216,0,16628,104336.118421828,253.171,0.51562571519761,70118.6853920516,0.419774732524589,74.9215045327897,65720,256.496,33.128,9.945,6.22796,49903.029,8.3,197.066884615385,13.22,7.73125,20.1666666666667,75.9312142857143,2.31652173913043,141
"39","CAF","Africa",1850,216,5,0,383.041,44.723,1.035,0,63135.6170783045,4016.05996680804,7.34008733163451,0.0868280980559793,3394.7138020026,0.0759311378276896,60.6556164383562,4829764,7.479,18.3,3.655,2.251,661.24,33.7642857142857,435.727,6.1,2.55945945945946,27.0675675675676,16.603,1,161
"40","TCD","Africa",253,83,27,10,15.403,5.053,1.644,0.609,63135.6170783045,4016.05996680804,7.34008733163451,0.0868280980559793,3394.7138020026,0.0759311378276896,88.89,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,2.55945945945946,27.0675675675676,5.818,1.48829268292683,129
"41","CHL","South America",134150,6405,2190,649,7017.605,335.056,114.562,33.95,728815,20042,38.125,1.048,18518,0.969,63.4322727272727,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,65.9906666666667,2.11,160
"42","CHN","Asia",59865,15141,1368,254,41.592,10.52,0.95,0.176,222760.246662944,11590.3171981826,18.5326948050684,0.478731413513021,9322.55842395497,0.416967308344982,75.46,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,72.0893461538462,4.34,44
"43","COL","South America",35120,1766,1087,42,690.212,34.707,21.363,0.825,386938,12346,7.604,0.243,11504,0.226,87.04,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,157
"44","COM","Africa",78,44,1,0,89.697,50.598,1.15,0,63135.6170783045,4016.05996680804,7.34008733163451,0.0868280980559793,3394.7138020026,0.0759311378276896,71.5864093408156,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,144
"45","COG","Africa",391,50,15,4,70.858,9.061,2.718,0.725,63135.6170783045,4016.05996680804,7.34008733163451,0.0868280980559793,3394.7138020026,0.0759311378276896,97.22,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,1.48829268292683,136
"46","CRI","North America",1461,86,12,1,286.802,16.882,2.356,0.196,9410.9010989011,241.021978021978,1.84741758241758,0.0473406593406593,247.416666666667,0.0485357142857143,68.624947368421,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,163
"47","CIV","Africa",3262,238,35,2,123.662,9.023,1.327,0.076,34272,4016.05996680804,1.301,0.0868280980559793,3394.7138020026,0.0759311378276896,70.65075,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,2.55945945945946,27.0675675675676,19.351,1.48829268292683,157
"48","HRV","Europe",963,96,6,0,234.577,23.385,1.462,0,8352,672,2.034,0.164,592,0.144,96.3,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,94.2155,5.54,93
"49","CUB","North America",1611,74,66,2,142.231,6.533,5.827,0.177,55542,1997,4.904,0.176,1984,0.175,83.33,11326616,110.408,43.1,14.738,9.719,21655.2437037037,8.3,190.968,8.27,17.1,53.3,85.198,5.2,124
"50","CUW","North America",6,3,0,0,36.563,18.282,0,0,1080,104336.118421828,6.583,0.51562571519761,70118.6853920516,0.419774732524589,74.9215045327897,164100,362.644,41.7,16.367,10.068,21655.2437037037,8.3,197.066884615385,11.62,7.73125,20.1666666666667,75.9312142857143,2.31652173913043,84
"51","CYP","Europe",320,58,9,1,365.339,66.218,10.275,1.142,134706,13638.1478773149,111.614,0.704237414321466,15123.6878734078,0.652384570702569,92.59,875899,127.657,37.3,13.416,8.563,32415.132,0.874193548387097,141.171,9.24,19.6,52.7,94.2155,3.4,93
"52","CZE","Europe",2062,408,9,3,192.549,38.099,0.84,0.28,37096,5359,3.464,0.5,3305,0.309,82.41,10708982,137.176,43.3,19.027,11.58,32605.906,0.874193548387097,227.485,6.82,30.5,38.3,94.2155,6.63,87
"53","COD","Africa",2545,248,67,0,28.416,2.769,0.748,0,63135.6170783045,4016.05996680804,7.34008733163451,0.0868280980559793,3394.7138020026,0.0759311378276896,80.56,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,2.55945945945946,27.0675675675676,4.472,1.48829268292683,148
"54","DNK","Europe",5071,390,203,16,875.487,67.332,35.047,2.762,57535,5991,9.933,1.034,4394,0.759,72.22,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,94.2155,2.5,99
"55","DJI","Africa",1828,310,9,2,1850.199,313.765,9.109,2.024,40356,4016.05996680804,40.88,0.0868280980559793,3394.7138020026,0.0759311378276896,56.48,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,25.1552727272727,1.4,142
"56","DMA","North America",7,5,0,0,97.234,69.453,0,0,534,104336.118421828,7.419,0.51562571519761,70118.6853920516,0.419774732524589,25,71991,98.567,33.128,9.945,6.22796,9673.367,8.3,227.376,11.62,7.73125,20.1666666666667,75.9312142857143,3.8,86
"57","DOM","North America",15073,651,460,2,1389.485,60.012,42.405,0.184,100035,104336.118421828,9.227,0.51562571519761,70118.6853920516,0.419774732524589,84.26,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,147
"58","ECU","South America",22719,11536,576,0,1287.702,653.855,32.647,0,31134,5925.71031746032,1.765,0.246775793650794,1611,0.091,93.52,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,118
"59","EGY","Africa",24985,1536,959,46,244.151,15.01,9.371,0.45,135000,4016.05996680804,1.321,0.0868280980559793,3394.7138020026,0.0759311378276896,84.26,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,153
"60","SLV","North America",2517,239,46,3,388.055,36.847,7.092,0.463,91837,2479,14.159,0.382,2384,0.368,100,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,152
"61","GNQ","Africa",1306,263,12,0,930.872,187.457,8.553,0,100035,4016.05996680804,9.227,0.0868280980559793,3394.7138020026,0.0759311378276896,71.5864093408156,1402985,45.194,22.4,2.846,1.752,22604.873,33.7642857142857,202.812,7.78,2.55945945945946,27.0675675675676,24.64,2.1,152
"62","ERI","Africa",29,7,0,0,8.177,1.974,0,0,63135.6170783045,4016.05996680804,7.34008733163451,0.0868280980559793,3394.7138020026,0.0759311378276896,93.52,3546427,44.304,19.3,3.607,2.171,1510.459,33.7642857142857,311.11,6.05,0.2,11.4,25.1552727272727,0.7,96
"63","EST","Europe",538,134,1,0,405.567,101.015,0.754,0,9374,1253,7.067,0.945,876,0.66,72.22,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,94.2155,4.69,87
"64","ETH","Africa",2336,180,32,5,20.319,1.566,0.278,0.043,45332.7692307692,2323.33333333333,0.394384615384615,0.0202121212121212,1750.97435897436,0.0153205128205128,64.874625,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,162
"65","FRO","Europe",72,72,0,0,1473.447,1473.447,0,0,10708,13638.1478773149,219.184,0.704237414321466,15123.6878734078,0.652384570702569,76.9023147587023,48865,35.308,42.07,17.719625,11.83035,33562.2263023256,0.874193548387097,230.159414634146,6.55840909090909,23.4025,35.5925,94.2155,5.10404545454545,80
"66","FLK","South America",11,6,0,0,3158.197,1722.653,0,0,671,5925.71031746032,193.205,0.246775793650794,5569.26458288269,0.209497224024804,83.1126185731186,3483,24.392,30.2166666666667,8.27725,5.186,13840.78525,2.86666666666667,187.323916666667,7.81083333333333,10.9333333333333,24.6625,65.9906666666667,2.06833333333333,106
"67","FJI","Oceania",12,5,0,0,13.386,5.578,0,0,2431,11486.8203125,2.713,0.62640625,10614.2013888889,0.572368055555555,87.04,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,95,2.3,95
"68","FIN","Europe",1882,267,25,5,339.667,48.189,4.512,0.902,33825,1647,6.105,0.297,1792,0.323,60.19,5540718,18.136,42.8,21.228,13.264,40585.721,0.874193548387097,153.507,5.76,18.3,22.6,94.2155,3.28,96
"69","FRA","Europe",52128,7578,3523,499,798.609,116.096,53.973,7.645,1384633,32461.5384615385,21.215,0.497615384615385,32552,0.499,90.74,65273512,122.578,42,19.718,13.079,38605.671,0.874193548387097,86.06,4.77,30.1,35.6,94.2155,5.98,92
"70","PYF","Oceania",15,12,0,0,53.399,42.719,0,0,4262,11486.8203125,15.177,0.62640625,10614.2013888889,0.572368055555555,75.186,280904,77.324,32.7,7.775,4.593,23315.1805,0.95,286.065333333333,22.63,15.375,29.325,95,2.91666666666667,81
"71","GAB","Africa",1934,206,12,0,868.929,92.554,5.391,0,19517,4016.05996680804,8.782,0.0868280980559793,3394.7138020026,0.0759311378276896,82.41,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,2.55945945945946,27.0675675675676,25.1552727272727,6.3,145
"72","GMB","Africa",17,5,1,0,7.034,2.069,0.414,0,1970,4016.05996680804,0.817,0.0868280980559793,3394.7138020026,0.0759311378276896,78.7,2416664,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,124
"73","GEO","Asia",582,43,8,2,145.895,10.779,2.005,0.501,70569,11590.3171981826,17.689,0.478731413513021,9322.55842395497,0.416967308344982,96.3,3989175,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,72.0893461538462,2.6,123
"74","DEU","Europe",48582,6294,325,72,579.849,75.122,3.879,0.859,2112071.38461538,13638.1478773149,25.2086923076923,0.704237414321466,51382,0.613,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,0.874193548387097,156.139,8.31,28.2,33.1,94.2155,8,88
"75","GHA","Africa",4012,921,18,0,129.116,29.64,0.579,0,134038.961538462,3233.29411764706,4.31361538461538,0.104117647058824,3498,0.113,62.04,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,130
"76","GIB","Europe",55,20,0,0,1632.483,593.63,0,0,9914,13638.1478773149,294.263,0.704237414321466,15123.6878734078,0.652384570702569,76.9023147587023,33691,3457.1,42.07,17.719625,11.83035,33562.2263023256,0.874193548387097,230.159414634146,6.55840909090909,23.4025,35.5925,94.2155,5.10404545454545,88
"77","GRC","Europe",2401,156,121,5,230.355,14.967,11.609,0.48,56944,1278,5.463,0.123,882,0.085,84.26,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,94.2155,4.21,113
"78","GRL","North America",9,3,0,0,158.529,52.843,0,0,2511,104336.118421828,44.235,0.51562571519761,70118.6853920516,0.419774732524589,77.78,56772,0.137,33.128,9.945,6.22796,21655.2437037037,8.3,199.941,2.16,7.73125,20.1666666666667,75.9312142857143,2.31652173913043,88
"79","GRD","North America",7,6,0,0,62.212,53.324,0,0,4130,104336.118421828,36.712,0.51562571519761,70118.6853920516,0.419774732524589,74.9215045327897,112519,317.132,29.4,7.304,5.021,13593.877,8.3,243.964,10.71,7.73125,20.1666666666667,75.9312142857143,3.7,87
"80","GUM","Oceania",110,17,4,0,651.724,100.721,23.699,0,211336.600746269,11486.8203125,13.6942649253731,0.62640625,10614.2013888889,0.572368055555555,67.59,168783,304.128,31.4,9.551,5.493,23315.1805,0.95,310.496,21.52,15.375,29.325,95,2.91666666666667,97
"81","GTM","North America",7502,447,267,15,418.742,24.95,14.903,0.837,31427,104336.118421828,1.756,0.51562571519761,70118.6853920516,0.419774732524589,93.5318604651163,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,7.73125,20.1666666666667,76.665,0.6,161
"82","GGY","Europe",114,23,2,2,1700.173,343.017,29.828,29.828,368329.318011682,13638.1478773149,35.2563776325551,0.704237414321466,15123.6878734078,0.652384570702569,76.9023147587023,67052,626.702125,42.07,17.719625,11.83035,33562.2263023256,0.874193548387097,230.159414634146,6.55840909090909,23.4025,35.5925,94.2155,5.10404545454545,95
"83","GIN","Africa",3067,204,19,1,233.538,15.534,1.447,0.076,14407,4016.05996680804,1.099,0.0868280980559793,3394.7138020026,0.0759311378276896,78.7,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,2.55945945945946,27.0675675675676,17.45,0.3,143
"84","GNB","Africa",205,128,1,0,104.167,65.041,0.508,0,1500,4016.05996680804,0.763,0.0868280980559793,3394.7138020026,0.0759311378276896,71.5864093408156,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,2.55945945945946,27.0675675675676,6.403,1.48829268292683,122
"85","GUY","South America",150,11,11,0,190.704,13.985,13.985,0,1920,5925.71031746032,2.442,0.246775793650794,5569.26458288269,0.209497224024804,90.74,786559,3.952,26.3,5.305,2.837,7435.047,2.86666666666667,373.159,11.62,10.9333333333333,24.6625,77.159,1.6,150
"86","HTI","North America",2924,284,50,0,256.434,24.907,4.385,0,8081,104336.118421828,0.709,0.51562571519761,70118.6853920516,0.419774732524589,81.8435135135135,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,158
"87","HND","North America",6935,485,271,9,700.179,48.967,27.361,0.909,21540,104336.118421828,2.177,0.51562571519761,70118.6853920516,0.419774732524589,97.8574418604651,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,20.1666666666667,84.169,0.7,162
"88","HKG","Asia",0,0,0,0,1188.82317391304,76.5575,7.11239130434783,0.43295652173913,241992,3958,32.279,0.528,2642,0.352,52.78,7496988,7039.714,44.8,16.303,10.158,56054.92,6.75483870967742,290.287260869565,8.33,4.68974358974359,39.0564102564103,72.0893461538462,2.9053488372093,153
"89","HUN","Europe",1190,210,77,11,123.184,21.738,7.971,1.139,29948,2122,3.1,0.22,1740,0.18,76.85,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,94.2155,7.02,101
"90","ISL","Europe",1319,99,4,2,3865.201,290.11,11.722,5.861,23599,1445,69.155,4.234,1286,3.768,53.7,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,94.2155,2.91,94
"91","IDN","Asia",34316,1240,1959,36,125.459,4.533,7.162,0.132,94671.7375,3507.91891891892,0.34615,0.0127432432432432,3314.49367088608,0.0121772151898734,44.8461333333333,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,163
"92","IRN","Asia",55743,5275,3452,292,663.663,62.803,41.099,3.476,189790,14551.3958333333,2.26,0.173291666666667,14000.5964912281,0.166614035087719,62.04,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,72.0893461538462,1.5,96
"93","IRQ","Asia",12366,1268,346,28,307.44,31.525,8.602,0.696,349625,11590.3171981826,8.704,0.478731413513021,9322.55842395497,0.416967308344982,92.59,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,4.68974358974359,39.0564102564103,94.576,1.4,160
"94","IRL","Europe",7393,1169,263,28,1497.227,236.745,53.263,5.671,161827.071428571,13638.1478773149,32.7732142857143,0.704237414321466,3950,0.8,90.74,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,94.2155,2.96,101
"95","IMN","Europe",114,43,1,0,1340.672,505.692,11.76,0,5415,13638.1478773149,63.698,0.704237414321466,15123.6878734078,0.652384570702569,76.9023147587023,85032,147.872,42.07,17.719625,11.83035,33562.2263023256,0.874193548387097,230.159414634146,6.55840909090909,23.4025,35.5925,94.2155,5.10404545454545,95
"96","ISR","Asia",7428,1176,39,5,858.179,135.867,4.506,0.578,113608,6351,13.125,0.734,8367,0.967,87.96,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,72.0893461538462,2.99,95
"97","ITA","Europe",53578,6557,4827,795,886.146,108.449,79.835,13.149,258402,25180,4.274,0.416,19072,0.315,91.67,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,94.2155,3.18,82
"98","JAM","North America",350,45,7,0,118.197,15.197,2.364,0,15153,104336.118421828,5.118,0.51562571519761,70118.6853920516,0.419774732524589,87.04,2961161,266.879,31.4,9.684,6.39,8193.571,8.3,206.537,11.28,5.3,28.6,66.425,1.7,118
"99","JPN","Asia",6748,1401,98,10,53.354,11.077,0.775,0.079,77381,11590.3171981826,0.612,0.478731413513021,4677,0.037,45.37,126476458,347.778,48.2,27.049,18.493,39002.223,6.75483870967742,79.37,5.72,11.2,33.7,72.0893461538462,13.05,103
"100","JEY","Europe",118,37,2,0,1167.473,366.072,19.788,0,368329.318011682,13638.1478773149,35.2563776325551,0.704237414321466,15123.6878734078,0.652384570702569,76.9023147587023,101073,626.702125,42.07,17.719625,11.83035,33562.2263023256,0.874193548387097,230.159414634146,6.55840909090909,23.4025,35.5925,94.2155,5.10404545454545,95
"101","JOR","Asia",212,40,0,0,20.778,3.92,0,0,249413,11590.3171981826,24.46,0.478731413513021,9322.55842395497,0.416967308344982,100,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,4.68974358974359,39.0564102564103,72.0893461538462,1.4,88
"102","KAZ","Asia",10858,476,38,1,578.27,25.351,2.024,0.053,812881,24592,43.292,1.31,22238,1.184,83.8,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,152
"103","KEN","Africa",2767,167,84,1,51.459,3.106,1.562,0.019,29926.8059701493,1311.46551724138,0.556522388059701,0.0243793103448276,1014.93103448276,0.0188505747126437,80.0736363636364,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,160
"104","OWID_KOS","Europe",1263,121,31,1,653.465,62.604,16.039,0.517,368329.318011682,13638.1478773149,35.2563776325551,0.704237414321466,15123.6878734078,0.652384570702569,90.7635897435897,1932774,168.155,42.07,17.719625,11.83035,9795.834,0.6,230.159414634146,6.55840909090909,23.4025,35.5925,94.2155,5.10404545454545,161
"105","KWT","Asia",16764,1073,121,3,3925.478,251.255,28.334,0.702,330129,11590.3171981826,77.368,0.478731413513021,9322.55842395497,0.416967308344982,100,4270563,232.128,33.7,2.345,1.114,65530.537,6.75483870967742,132.235,15.84,2.7,37,72.0893461538462,2,141
"106","KGZ","Asia",1216,78,14,0,186.383,11.956,2.146,0,147454,11590.3171981826,22.642,0.478731413513021,9322.55842395497,0.416967308344982,84.72,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,139
"107","LAO","Asia",6,4,0,0,0.825,0.55,0,0,9676,11590.3171981826,1.331,0.478731413513021,9322.55842395497,0.416967308344982,28.7,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,87
"108","LVA","Europe",376,71,0,0,199.342,37.642,0,0,14307,502,7.585,0.266,936,0.496,76.9023147587023,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,94.2155,5.57,90
"109","LBN","Asia",230,67,4,0,33.697,9.816,0.586,0,103390,11590.3171981826,15.145,0.478731413513021,9322.55842395497,0.416967308344982,85.19,6825442,594.561,31.1,8.514,5.43,13367.565,6.75483870967742,266.591,12.71,26.9,40.7,72.0893461538462,2.9,82
"110","LSO","Africa",4,2,0,0,1.867,0.934,0,0,1515,4016.05996680804,0.707,0.0868280980559793,3394.7138020026,0.0759311378276896,62.04,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,1.48829268292683,157
"111","LBR","Africa",31,17,4,1,6.129,3.361,0.791,0.198,63135.6170783045,4016.05996680804,7.34008733163451,0.0868280980559793,3394.7138020026,0.0759311378276896,81.48,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,100
"112","LBY","Africa",332,62,5,0,48.317,9.023,0.728,0,11765,4016.05996680804,1.714,0.0868280980559793,3394.7138020026,0.0759311378276896,93.3333333333333,6871287,3.623,29,4.424,2.816,17881.509,33.7642857142857,341.862,10.43,2.55945945945946,27.0675675675676,25.1552727272727,3.7,162
"113","LIE","Europe",25,18,0,0,655.531,471.983,0,0,900,13638.1478773149,23.608,0.704237414321466,15123.6878734078,0.652384570702569,76.9023147587023,38137,237.012,42.07,17.719625,11.83035,33562.2263023256,0.874193548387097,230.159414634146,7.77,23.4025,35.5925,94.2155,2.397,79
"114","LTU","Europe",771,122,9,0,283.217,44.815,3.306,0,21376,2944,7.852,1.081,2068,0.76,81.48,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,94.2155,6.56,95
"115","LUX","Europe",1333,234,8,0,2129.475,373.816,12.78,0,52602.71875,1048.43103448276,84.033125,1.67486206896552,996.539682539683,1.59198412698413,79.63,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,94.2155,4.51,86
"116","MKD","Europe",2792,180,149,2,1340.13,86.398,71.518,0.96,41049,13638.1478773149,19.703,0.704237414321466,15123.6878734078,0.652384570702569,76.9023147587023,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,23.4025,35.5925,94.2155,4.28,158
"117","MDG","Africa",527,79,2,0,19.031,2.853,0.072,0,15148,4016.05996680804,0.548,0.0868280980559793,3394.7138020026,0.0759311378276896,62.96,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,2.55945945945946,27.0675675675676,50.54,0.2,146
"118","MWI","Africa",203,102,4,0,10.612,5.332,0.209,0,6690,4016.05996680804,0.35,0.0868280980559793,3394.7138020026,0.0759311378276896,57.41,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,150
"119","MYS","Asia",8266,296,116,1,255.391,9.145,3.584,0.031,599454,8841,18.521,0.273,7584,0.234,75,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,72.0893461538462,1.9,158
"120","MDV","Asia",468,191,1,1,865.798,353.349,1.85,1.85,7754,443,14.345,0.82,365,0.675,70.1410910283143,540542,1454.433,30.6,4.12,2.875,15183.616,6.75483870967742,164.905,9.19,2.1,55,95.803,2.9053488372093,122
"121","MLI","Africa",1461,110,85,7,72.145,5.432,4.197,0.346,3483,4016.05996680804,0.172,0.0868280980559793,3394.7138020026,0.0759311378276896,66.3289855072464,20250834,15.196,16.4,2.519,1.486,2014.306,33.7642857142857,268.024,2.42,1.6,23,52.232,0.1,157
"122","MLT","Europe",298,44,0,0,674.912,99.651,0,0,78788,13638.1478773149,178.462,0.704237414321466,15123.6878734078,0.652384570702569,76.9023147587023,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,94.2155,4.485,99
"123","MRT","Africa",1162,215,61,18,249.911,46.24,13.119,3.871,7654,4016.05996680804,1.649,0.0868280980559793,3394.7138020026,0.0759311378276896,72.7921333333333,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,2.55945945945946,27.0675675675676,15.95,1.48829268292683,162
"124","MUS","Africa",314,41,7,0,246.901,32.239,5.504,0,137789,4016.05996680804,108.353,0.0868280980559793,3394.7138020026,0.0759311378276896,82.41,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,25.1552727272727,3.4,101
"125","MEX","North America",129184,4883,15357,708,1001.949,37.872,119.109,5.491,57736.1572327044,1873.98113207547,0.447798742138365,0.0144528301886792,1910.27631578947,0.0147171052631579,72.69,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,163
"126","MDA","Europe",10321,296,371,6,2558.526,73.377,91.969,1.487,63328,13638.1478773149,15.697,0.704237414321466,15123.6878734078,0.652384570702569,80.56,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,163
"127","MCO","Europe",42,9,0,0,1070.227,229.334,0,0,368329.318011682,13638.1478773149,35.2563776325551,0.704237414321466,15123.6878734078,0.652384570702569,76.9023147587023,39244,19347.5,42.07,17.719625,11.83035,33562.2263023256,0.874193548387097,230.159414634146,5.46,23.4025,35.5925,94.2155,13.8,88
"128","MNG","Asia",135,74,0,0,41.18,22.573,0,0,222760.246662944,11590.3171981826,18.5326948050684,0.478731413513021,9322.55842395497,0.416967308344982,62.96,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,137
"129","MNE","Europe",174,30,2,0,277.043,47.766,3.184,0,368329.318011682,13638.1478773149,35.2563776325551,0.704237414321466,15123.6878734078,0.652384570702569,76.9023147587023,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,94.2155,3.861,95
"130","MSR","North America",5,4,0,0,1000.2,800.16,0,0,725110.390214974,104336.118421828,28.4241561972426,0.51562571519761,70118.6853920516,0.419774732524589,74.9215045327897,4999,270.565545454545,33.128,9.945,6.22796,21655.2437037037,8.3,197.066884615385,10.8809677419355,7.73125,20.1666666666667,75.9312142857143,2.31652173913043,87
