"","txsize","txvirtualsize","txinputs_count","txoutputs_count","txinput_val","txoutput_val","txfee","Min_received","Max_received","Avg_received","Total_received","Stdev_received","Var_received","Min_sent","Max_sent","Avg_sent","Total_sent","Stdev_sent","Var_sent"
"1",276,276,1,2,4.994e+09,4.994e+09,0,15,34.94,24.97,49.94,14.0997092168598,198.8018,49.94,49.94,49.94,49.94,0,0
"2",276,276,1,2,5e+09,5e+09,0,1,49,25,50,33.9411254969543,1152,50,50,50,50,0,0
"3",11633,11633,101,2,5.04988e+11,5.04976e+11,12000000,49.76,5000,2524.88,5049.76,3500.34827250089,12252438.0288,49.88,50,49.998811881,5049.88,0.0119404462825199,0.000142574257425743
"4",11634,11634,101,2,5.05e+11,5.04988e+11,12000000,49.88,5000,2524.94,5049.88,3500.26341968715,12251844.0072,50,50,50,5050,0,0
"5",13918,13918,121,2,6.04967e+11,6.04953e+11,14000000,49.53,6000,3024.765,6049.53,4207.61768824712,17704046.61045,49.67,50,49.997272727,6049.67,0.03,9e-04
"6",4221,4221,36,2,1.80013e+11,1.80013e+11,0,0.13,1800,900.065,1800.13,1272.70028225423,1619766.00845,50,50.13,50.003611111,1800.13,0.0216666666666667,0.000469444444444444
"7",234,234,1,2,5e+09,5e+09,0,0.33,49.67,25,50,34.8886485837443,1217.2178,50,50,50,50,0,0
"8",276,276,1,2,3.494e+09,3.494e+09,0,0.01,34.93,17.47,34.94,24.6921687990342,609.7032,34.94,34.94,34.94,34.94,0,0
"9",2170,2170,18,2,9e+10,9e+10,0,4.35,895.65,450,900,630.24427407157,397207.845,50,50,50,900,0,0
"10",12767,12767,111,2,5.54953e+11,5.5494e+11,13000000,49.4,5500,2774.7,5549.4,3854.1562215354,14854520.18,49.53,50,49.995765766,5549.53,0.0446104258003675,0.00199009009009009
"11",233,233,1,2,4.95e+09,4.95e+09,0,0.5,49,24.75,49.5,34.2946788875476,1176.125,49.5,49.5,49.5,49.5,0,0
"12",337,337,2,1,2.5e+09,2.5e+09,0,25,25,25,25,0,0,10,15,12.5,25,3.53553390593274,12.5
"13",224,224,1,1,1e+08,1e+08,0,1,1,1,1,0,0,1,1,1,1,0,0
"14",2321,2321,20,1,1e+11,1e+11,0,1000,1000,1000,1000,0,0,50,50,50,1000,0,0
