,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
36,415794.4,226186.34,0.0,0.0,0.0,636570.8,1268410.6,0.0,0.0,1036372.8,977081.2,845987.56,391912.2,93638.84,455896.8,1252160.6
37,22811458000.0,12406789000.0,0.0,0.0,0.0,34919790000.0,69585584000.0,0.0,0.0,56849470000.0,53597150000.0,46407524000.0,21496529000.0,5141616600.0,25004857000.0,68695840000.0
38,811783.06,441565.78,0.0,0.0,0.0,1242788.6,2476382.5,0.0,0.0,2023301.9,1907537.4,1651631.9,765104.06,182857.06,890005.4,2444673.0
39,285760.1,155473.78,0.0,0.0,0.0,437513.9,871745.9,0.0,0.0,712317.1,671572.25,581449.6,269384.84,64325.387,313373.66,860565.8
40,4276899.5,2326135.8,0.0,0.0,0.0,6547417.5,13046725.0,0.0,0.0,10659199.0,10049246.0,8701297.0,4030554.2,963705.2,4688440.0,12879794.0
41,220411620.0,119874904.0,0.0,0.0,0.0,337420130.0,672365760.0,0.0,0.0,549317100.0,517882600.0,448419400.0,207710500.0,49669400.0,241612580.0,663764800.0
42,529161.75,268741.03,0.0,0.0,0.0,759675.8,1624006.4,0.0,0.0,1281265.1,1227214.8,1037707.94,442271.66,180392.22,558673.3,1589778.5
43,360018000.0,195790670.0,0.0,0.0,0.0,551107900.0,1098240800.0,0.0,0.0,897225900.0,845893900.0,732419900.0,339237700.0,81166456.0,394634370.0,1084183800.0
44,339870.2,184941.78,0.0,0.0,0.0,520385.5,1036831.8,0.0,0.0,847263.7,798808.3,691589.0,320438.44,76471.766,372773.84,1023520.75
45,355211.4,193248.62,0.0,0.0,0.0,543836.75,1083608.6,0.0,0.0,885412.0,834762.44,722749.25,334838.03,79972.95,389510.9,1069717.1
46,454455.03,247226.77,0.0,0.0,0.0,695767.94,1386353.1,0.0,0.0,1132757.1,1067954.1,924660.9,428367.34,102333.92,498306.75,1368587.6
47,588799.25,320286.56,0.0,0.0,0.0,901425.2,1796166.1,0.0,0.0,1467560.5,1383596.8,1197971.2,554961.06,132614.64,645560.9,1773160.9
48,13477556.0,7330066.0,0.0,0.0,0.0,20632364.0,41113324.0,0.0,0.0,33589370.0,31667234.0,27419692.0,12701010.0,3037058.2,14774076.0,40587360.0
49,532474.5,289642.25,0.0,0.0,0.0,815189.75,1624341.6,0.0,0.0,1327160.9,1251228.1,1083365.4,501864.72,119935.484,583794.56,1603539.9
50,525409.9,266702.22,0.0,0.0,0.0,753934.0,1612562.6,0.0,0.0,1271919.0,1218403.9,1030077.44,438738.88,179544.62,554564.56,1578480.4
51,948007740.0,515590340.0,0.0,0.0,0.0,1451268000.0,2891895600.0,0.0,0.0,2362653200.0,2227451600.0,1928685200.0,893377200.0,213633070.0,1039193400.0,2854901800.0
52,3535854.0,1923107.1,0.0,0.0,0.0,5412977.0,10786164.0,0.0,0.0,8812340.0,8308075.5,7193667.0,3332211.2,796709.9,3876116.2,10648150.0
53,582560.75,316908.7,0.0,0.0,0.0,891889.25,1777145.4,0.0,0.0,1452048.4,1368976.8,1185300.5,549105.7,131190.95,638755.1,1754375.9
54,770107.0,418949.16,0.0,0.0,0.0,1179034.1,2349279.5,0.0,0.0,1919551.4,1809739.0,1566912.5,725907.4,173405.81,844428.44,2319171.5
55,3268295700.0,1777663600.0,0.0,0.0,0.0,5003062000.0,9969870000.0,0.0,0.0,8144970000.0,7679083000.0,6648911000.0,3079955700.0,736727940.0,3582508800.0,9842459000.0
56,221619650.0,120535110.0,0.0,0.0,0.0,339266560.0,676051600.0,0.0,0.0,552322940.0,520719940.0,450872580.0,208850380.0,49944756.0,242934880.0,667405900.0
57,4321474.0,2312134.5,0.0,0.0,0.0,6514728.5,13202215.0,0.0,0.0,10694905.0,10121407.0,8714086.0,3959546.5,1096210.2,4694224.0,13006457.0
